id;plane_id;article;batch_size;release_date;pf_time;workload_ wc
2583;1;245952;14;08.07.2021;4.3;480.3
2584;1;167498;28;08.07.2021;3.8;955.8
2585;1;124390;7;08.07.2021;2.1;240.1
2588;1;124202;3;08.07.2021;3.4;105.4
2597;1;815318;3;08.07.2021;0;102
2598;1;15360;14;08.07.2021;0.95;476.95
2604;1;177607;14;08.07.2021;0.96;476.96
2607;1;173247;3;08.07.2021;1.1;103.1
2608;1;303237;14;08.07.2021;1.7;477.7
2609;1;30513;6;08.07.2021;1.5;205.5
2610;1;811179;3;08.07.2021;17;119
2611;1;811164;3;08.07.2021;6.3;108.3
2612;1;257793;21;08.07.2021;0.52;714.52
2614;1;124394;7;08.07.2021;15;253
2616;1;191409;28;08.07.2021;1.7;953.7
2617;1;234397;7;08.07.2021;2.8;240.8
2628;1;84523;6;08.07.2021;1;205
2633;1;173232;6;08.07.2021;3.3;207.3
2637;1;811149;3;08.07.2021;6;108
2643;1;300000;253;08.07.2021;0.28;8602.28
2655;1;300799;192;08.07.2021;0.021;6528.021
2663;1;813174;48;08.07.2021;16;1648
2668;1;820497;14;08.07.2021;0;476
2672;1;811183;18;08.07.2021;8.8;620.8
2673;1;167539;14;08.07.2021;3;479
2695;1;814968;7;08.07.2021;1.6;239.6
2706;1;811153;3;08.07.2021;12;114
2708;1;306567;14;08.07.2021;0.075;476.075
2711;1;300372;9;08.07.2021;0.79;306.79
2718;1;124304;14;08.07.2021;9.7;485.7
2726;1;40284;6;08.07.2021;0.04;204.04
2727;1;160874;7;08.07.2021;9.5;247.5
2731;1;111384;33;08.07.2021;0.085;1122.085
2732;1;156811;14;08.07.2021;3.5;479.5
2738;1;181933;24;08.07.2021;3.9;819.9
2741;1;191420;14;08.07.2021;2;478
2744;1;245949;14;08.07.2021;1.3;477.3
2750;1;815317;6;08.07.2021;0;204
2758;1;295385;14;08.07.2021;7.8;483.8
2761;1;15843;14;08.07.2021;2.7;478.7
2778;1;300096;48;08.07.2021;0.038;1632.038
2783;1;15370;22;08.07.2021;1.8;749.8
2785;1;124231;28;08.07.2021;2;954
2791;1;158518;7;08.07.2021;0.083;238.083
2802;1;308155;216;08.07.2021;0.19;7344.19
2805;1;124261;7;08.07.2021;3.9;241.9
2815;1;302274;76;08.07.2021;1.8;2585.8
2820;1;124498;18;08.07.2021;0.95;612.95
2822;1;282438;7;08.07.2021;19;257
2829;1;124284;162;08.07.2021;1;5509
2835;1;186094;7;08.07.2021;9.5;247.5
2836;1;815321;3;08.07.2021;0;102
2838;1;300676;917;08.07.2021;0.016;31178.016
2840;1;300363;20;08.07.2021;0.23;680.23
2846;1;245953;56;08.07.2021;0.85;1904.85
2848;1;124220;14;08.07.2021;2;478
2851;1;297509;3;08.07.2021;1.9;103.9
2855;1;15374;12;08.07.2021;2.6;410.6
2857;1;124201;3;08.07.2021;2.6;104.6
2858;1;191445;7;08.07.2021;9.1;247.1
2859;1;171859;7;08.07.2021;4.2;242.2
2864;1;177612;28;08.07.2021;1.1;953.1
2867;1;191411;28;08.07.2021;16;968
2873;1;282472;7;08.07.2021;1.3;239.3
2879;1;301258;25;08.07.2021;0.021;850.021
2891;1;295284;28;08.07.2021;3.8;955.8
2892;1;234394;7;08.07.2021;27;265
2894;1;811147;3;08.07.2021;1.4;103.4
2896;1;15689;7;08.07.2021;8.7;246.7
2902;1;302992;14;08.07.2021;0.87;476.87
2907;1;84524;15;08.07.2021;1;511
2910;1;289128;7;08.07.2021;8.5;246.5
2912;1;173231;6;08.07.2021;4.2;208.2
2914;1;212518;14;08.07.2021;1.1;477.1
2920;1;306568;84;08.07.2021;0.063;2856.063
2923;1;811180;3;08.07.2021;11;113
2926;1;811165;6;08.07.2021;4.4;208.4
2935;1;15362;7;08.07.2021;1.4;239.4
2939;1;813173;6;08.07.2021;3;207
2940;1;167519;14;08.07.2021;23;499
2944;1;254414;28;08.07.2021;0.2;952.2
2947;1;191408;14;08.07.2021;33;509
2949;1;177608;28;08.07.2021;1.8;953.8
2954;1;815463;3;08.07.2021;2.5;104.5
2958;1;124254;84;08.07.2021;2.1;2858.1
2959;1;257794;7;08.07.2021;0.56;238.56
2961;1;811041;3;08.07.2021;35;137
2962;1;234398;7;08.07.2021;1.2;239.2
2970;1;306534;56;08.07.2021;0.065;1904.065
2979;1;811184;3;08.07.2021;8;110
2983;1;811090;12;08.07.2021;8.6;416.6
2984;1;84535;3;08.07.2021;2.4;104.4
2986;1;15381;3;08.07.2021;1.4;103.4
2987;1;178371;12;08.07.2021;0.87;408.87
2992;1;124416;7;08.07.2021;12;250
2993;1;811169;3;08.07.2021;6.1;108.1
2994;1;124258;14;08.07.2021;1.1;477.1
2998;1;254410;28;08.07.2021;0.4;952.4
3005;1;117200;72;08.07.2021;0.12;2448.12
3009;1;32351;7;08.07.2021;2.8;240.8
3014;1;4108;6;08.07.2021;3.6;207.6
3017;1;41304;3;08.07.2021;2.4;104.4
3024;1;158577;6;08.07.2021;0.83;204.83
3033;1;84532;3;08.07.2021;1.4;103.4
3036;1;245950;14;08.07.2021;1.2;477.2
3044;1;15369;10;08.07.2021;2.6;342.6
3045;1;234819;7;08.07.2021;0.011;238.011
3053;1;191418;14;08.07.2021;1.7;477.7
3056;1;167541;14;08.07.2021;14;490
3062;1;51894;14;08.07.2021;0.023;476.023
3063;1;15692;7;08.07.2021;2.2;240.2
3071;1;124309;14;08.07.2021;0.46;476.46
3072;1;124497;6;08.07.2021;4.1;208.1
3075;1;124418;7;08.07.2021;0.47;238.47
3076;1;295296;14;08.07.2021;28;504
3079;1;811159;3;08.07.2021;6;108
3080;1;153695;14;08.07.2021;1;477
3092;1;815320;6;08.07.2021;0;204
3095;1;301023;28;08.07.2021;0.0016;952.0016
3100;1;815474;3;08.07.2021;14;116
3101;1;124437;7;08.07.2021;3.7;241.7
3106;1;297508;3;08.07.2021;2.5;104.5
3116;1;15358;7;08.07.2021;15;253
3121;1;167545;7;08.07.2021;32;270
3128;1;167560;3;08.07.2021;3.5;105.5
3142;1;51661;7;08.07.2021;1.6;239.6
3144;1;191444;27;08.07.2021;7.5;925.5
3145;1;811178;3;08.07.2021;12;114
